Driver State,Speed (GPS),Engine Load,Throttle Position(Manifold),Engine RPM,Speed (OBD),Torque,GPS Bearing,Air Fuel Ratio(Measured),Engine Load(Absolute),Relative Throttle Position,Absolute Throttle Position B,Accelerator PedalPosition D,Accelerator PedalPosition E,Air Fuel Ratio(Commanded),Engine kW (At the wheels),time,lat,lng
5,19.3655,85.8824,20.7843,1657.25,30,34.3133,64,14.9804,52.549,14.1176,28.2353,27.0588,13.7255,14.848,8.07402,1416451025843,40.444,-79.9386
5,24.7698,85.8824,20.7843,1939,30,34.3133,62,14.8575,49.8039,10.5882,19.6078,28.2353,14.5098,14.848,8.07402,1416451026841,40.444,-79.9385
5,24.7698,68.6274,21.1765,1939,33,41.5682,62,14.7238,49.0196,12.549,21.5686,28.6275,14.5098,14.5542,11.444,1416451027841,40.444,-79.9385
5,30.3993,79.2157,20.3922,2003.5,37,48.9996,61,14.6547,49.0196,12.1569,21.5686,28.6275,14.1176,14.848,13.9387,1416451028840,40.4441,-79.9384
5,39.8569,91.7647,21.1765,2140.5,41,34.3146,62,14.8543,47.0588,10.5882,21.5686,28.6275,14.1176,14.848,10.4288,1416451029847,40.4442,-79.9382
5,42.1087,74.5098,21.1765,2362.5,43,33.3414,61,15.202,44.3137,10.5882,19.6078,26.6667,13.3333,14.848,11.1839,1416451030841,40.4442,-79.9381
5,45.036,89.8039,21.1765,1722,45,34.3982,59,15.202,46.6667,12.1569,20.7843,26.6667,13.3333,14.5542,8.41024,1416451031840,40.4443,-79.9379
5,45.036,89.8039,20.3922,1804,45,34.3982,59,15.0625,44.3137,11.3725,20.7843,26.6667,13.3333,14.5542,8.41024,1416451032844,40.4443,-79.9379
5,45.9367,81.9608,18.4314,1804,47,31.8936,57,14.7933,40,9.41177,18.4314,25.4902,13.3333,14.848,8.1692,1416451033843,40.4443,-79.9378
5,46.6123,72.9412,18.0392,1882,48,16.8297,61,14.8283,40,9.01961,18.0392,25.098,13.3333,14.848,4.49712,1416451034841,40.4444,-79.9377
5,51.7914,71.3726,18.0392,1940,49,33.7501,54,14.4847,40,11.3725,16.8627,25.098,12.549,14.848,9.29644,1416451035841,40.4446,-79.9374
5,51.5662,70.9804,12.1569,1461,50,33.7501,58,15.0822,40.3922,11.3725,16.8627,24.3137,12.1569,14.5542,9.29644,1416451036840,40.4446,-79.9373
5,49.7648,52.9412,15.6863,1624.25,50,33.7501,61,15.0822,27.451,4.31373,13.3333,21.1765,10.5882,14.5542,9.29644,1416451037841,40.4447,-79.9371
5,50.6655,52.9412,15.6863,1497,50,21.073,61,14.6516,39.2157,7.45098,16.4706,23.5294,11.7647,14.848,4.47907,1416451038847,40.4448,-79.937
5,52.2418,95.2941,18.0392,1497,51,21.073,58,14.6708,42.3529,9.80392,18.8235,23.9216,12.1569,14.5542,4.47907,1416451039840,40.4448,-79.9368
5,52.6921,97.2549,19.2157,1526,52,23.3146,58,14.6708,43.9216,10.5882,19.6078,24.3137,12.1569,14.5542,5.05151,1416451040842,40.4449,-79.9366
5,52.6921,87.451,18.0392,1558,53,23.5503,58,14.5753,43.9216,6.66667,15.6863,21.5686,9.80392,14.8521,5.20958,1416451041840,40.4449,-79.9366
5,52.6921,32.9412,9.01961,1648,53,23.5503,59,14.8373,28.2353,1.17647,9.41177,15.2941,9.80392,14.5542,5.20958,1416451042840,40.445,-79.9365
5,53.3677,12.1569,10.1961,1482.75,52,23.5503,60,29.3996,10.9804,1.56863,9.41177,15.2941,7.84314,12.9356,5.20958,1416451043840,40.445,-79.9363
3,50.4403,16.0784,9.80392,1325,50,0,62,29.3996,11.3725,1.56863,10.5882,15.6863,7.84314,12.9356,0,1416451044840,40.4451,-79.9362
3,49.7648,16.8627,9.80392,1258,44,0,62,29.3996,10.5882,1.17647,10.1961,15.2941,7.84314,12.9356,0,1416451045840,40.4452,-79.936
3,49.3144,16.8627,9.80392,1261.25,41,0,62,29.3996,32.549,0.784314,9.80392,19.6078,11.7647,12.9356,0,1416451046840,40.4452,-79.9359
5,42.3338,96.4706,16.8627,1261.25,41,0,75,13.7978,50.1961,8.23529,17.2549,25.8824,12.9412,12.9356,0,1416451047840,40.4453,-79.9356
5,41.6583,77.2549,17.2549,1291.5,42,21.5337,79,14.6179,49.0196,8.23529,17.2549,25.098,12.549,14.4811,3.94868,1416451048840,40.4453,-79.9355
5,42.1087,79.2157,16.4706,1273.75,42,21.5337,84,14.5614,49.0196,7.84314,17.2549,23.5294,12.549,14.5143,3.94868,1416451049840,40.4454,-79.9353
5,42.559,97.6471,18.0392,1390,42,21.5337,84,14.5093,40,13.3333,17.2549,23.5294,11.7647,14.5143,3.94868,1416451050841,40.4454,-79.9352
5,43.2346,87.8431,16.8627,1224.25,42,0,82,15.0948,46.2745,13.3333,24.3137,24.7059,12.549,14.5143,0,1416451051847,40.4454,-79.935
5,43.2346,87.8431,16.8627,1224.25,42,0,82,15.0948,50.1961,8.23529,17.2549,25.098,12.9412,14.5542,0,1416451052841,40.4454,-79.935
5,42.559,70.5882,16.8627,1255.25,43,16.3609,86,14.8198,50.1961,7.84314,16.8627,25.8824,12.9412,14.848,2.91592,1416451053841,40.4454,-79.9348
5,42.1087,75.6863,17.2549,1284,43,16.3609,88,14.5789,49.4118,8.62745,17.6471,25.8824,12.9412,14.848,2.91592,1416451054841,40.4454,-79.9346
5,42.559,80.7843,18.0392,1298.5,44,22.5553,88,14.7103,51.3725,8.62745,17.6471,26.2745,13.3333,14.5542,4.15844,1416451055840,40.4454,-79.9345
5,44.3605,84.3137,18.8235,1304.5,44,22.5553,85,14.7843,54.902,9.41177,18.4314,27.451,14.1176,14.5542,4.15844,1416451056840,40.4454,-79.9343
5,45.036,83.9216,19.2157,1350,45,23.0343,84,14.7843,59.2157,10.1961,19.2157,29.0196,14.5098,14.848,4.41518,1416451057841,40.4454,-79.9342
5,45.7115,83.9216,19.2157,1342,46,21.8051,84,14.5224,60.3922,10.9804,20,29.8039,14.902,14.848,4.15479,1416451058841,40.4454,-79.934
5,46.6123,82.7451,19.2157,1342,46,21.8051,83,14.6753,60,10.5882,19.6078,30.1961,15.2941,14.5542,4.15479,1416451059840,40.4455,-79.9339
5,47.9633,80,19.6078,1408.75,47,20.4704,83,14.7834,60,10.1961,19.2157,30.1961,15.2941,14.5542,4.09448,1416451060840,40.4455,-79.9337
5,48.4137,79.6078,19.6078,1436,48,21.552,85,14.966,57.6471,9.80392,18.8235,30.1961,15.2941,14.848,4.39422,1416451061842,40.4455,-79.9336
5,48.4137,73.7255,17.2549,1480,49,23.1947,86,14.5295,55.2941,8.62745,18.8235,29.0196,14.5098,14.848,4.87404,1416451062841,40.4455,-79.9334
5,48.8641,92.9412,22.3529,1574.5,49,23.1947,84,14.6699,47.8431,8.62745,17.6471,27.451,13.7255,14.848,4.87404,1416451063841,40.4455,-79.9332
5,49.3144,91.3726,22.3529,1462,50,22.2964,85,14.6699,61.5686,13.7255,23.1373,29.8039,14.902,14.8534,4.6283,1416451064841,40.4455,-79.9331
5,50.2151,91.3726,21.1765,1548,51,22.3403,85,14.8655,58.8235,11.7647,20.7843,29.8039,14.902,14.5412,4.91021,1416451065840,40.4455,-79.9329
5,50.2151,70.9804,19.6078,1594,51,22.3403,85,15.0634,54.902,10.5882,19.6078,29.4118,14.902,14.5282,4.91021,1416451066841,40.4455,-79.9329
5,51.7914,74.5098,15.2941,1594,51,22.3403,85,14.9615,20,3.13725,9.01961,15.2941,7.84314,14.8812,4.91021,1416451067841,40.4456,-79.9326
3,50.4403,16.8627,9.41177,1594,50,22.3403,84,13.9037,20,1.17647,9.80392,15.2941,7.84314,14.7,4.91021,1416451068840,40.4456,-79.9324
3,45.2612,16.0784,9.80392,1252,45,0,84,29.3996,10.1961,1.17647,10.1961,15.2941,7.84314,12.9356,0,1416451069840,40.4456,-79.9322
3,39.6317,17.2549,10.1961,1130.75,39,0,84,13.2752,10.5882,1.17647,10.1961,15.2941,7.84314,14.7,0,1416451070841,40.4456,-79.9321
3,34.2274,17.6471,10.1961,1246,33,0,84,13.692,10.9804,1.17647,10.1961,15.2941,7.84314,14.848,0,1416451071847,40.4456,-79.932
3,27.472,36.8627,11.7647,1290,26,0,85,15.032,16.8627,2.7451,11.7647,15.2941,7.84314,14.848,0,1416451072840,40.4456,-79.9319
3,20.4914,36.8627,11.7647,1315.5,17,0,85,15.032,19.2157,3.13725,12.1569,15.2941,7.84314,14.848,0,1416451073840,40.4456,-79.9318
3,14.1863,30.1961,11.3725,1315.5,17,0,84,15.0889,18.0392,2.7451,11.7647,15.2941,7.84314,14.848,0,1416451074840,40.4456,-79.9318
3,8.55684,32.1569,11.7647,1299,10,0,83,14.6318,18.0392,2.7451,11.7647,15.2941,7.84314,14.848,0,1416451075841,40.4456,-79.9317
8,2.92734,28.6275,10.5882,1172.5,3,0,83,14.7408,18.8235,1.56863,10.5882,15.2941,7.84314,14.848,0,1416451076841,40.4456,-79.9317
8,0,25.4902,10.1961,1020.25,0,0,84,14.6013,14.902,1.56863,10.5882,15.2941,7.84314,14.5542,0,1416451077843,40.4456,-79.9317
8,0,27.451,10.1961,855.5,0,0,84,14.6013,14.902,1.17647,10.1961,15.2941,7.84314,14.5542,0,1416451078847,40.4456,-79.9317
8,0,27.451,10.1961,788,0,0,84,14.4501,17.2549,1.17647,10.1961,15.2941,7.84314,14.848,0,1416451079840,40.4456,-79.9317
8,0,31.7647,10.1961,788,0,0,84,14.9095,18.4314,1.17647,10.1961,15.2941,7.84314,14.848,0,1416451080840,40.4456,-79.9317
8,0,32.9412,10.1961,790.75,0,0,84,14.7637,18.4314,1.17647,10.1961,15.2941,7.84314,14.848,0,1416451081841,40.4456,-79.9317
8,0,32.549,10.1961,794,0,0,84,14.6646,18.4314,1.17647,10.1961,15.2941,7.84314,14.5542,0,1416451082841,40.4456,-79.9317
8,0,32.549,10.1961,787.5,0,0,84,14.6251,18.4314,1.17647,10.1961,15.2941,7.84314,14.5542,0,1416451083848,40.4456,-79.9317
8,0,32.549,10.1961,788.5,0,0,84,14.6251,18.4314,1.17647,10.1961,15.2941,7.84314,14.848,0,1416451084843,40.4456,-79.9317
8,0,33.3333,10.1961,795,0,0,84,14.8525,18.8235,1.56863,10.1961,15.2941,7.84314,14.848,0,1416451085840,40.4456,-79.9317
8,0,33.7255,10.1961,795,0,0,84,14.9723,18.8235,1.17647,10.1961,15.2941,7.84314,14.848,0,1416451086840,40.4456,-79.9317
8,0,33.3333,10.1961,783,0,0,84,14.7018,18.8235,1.17647,10.1961,15.2941,7.84314,14.5542,0,1416451087841,40.4456,-79.9317
8,0,33.7255,10.1961,788,0,0,84,14.669,18.4314,1.17647,10.1961,15.2941,7.84314,14.848,0,1416451088845,40.4456,-79.9317
8,0,34.5098,10.1961,788.75,0,0,84,14.669,18.8235,1.17647,10.1961,15.2941,7.84314,14.848,0,1416451089841,40.4456,-79.9317
8,0,34.5098,10.1961,786.75,0,0,84,14.8301,19.2157,1.56863,10.1961,15.2941,7.84314,14.848,0,1416451090841,40.4456,-79.9317
8,0,34.5098,10.1961,786.75,0,0,84,14.9328,19.2157,1.17647,10.1961,15.2941,7.84314,14.848,0,1416451091840,40.4456,-79.9317
8,0,33.7255,10.1961,803.25,0,0,84,14.7534,19.2157,1.17647,10.1961,15.2941,7.84314,14.5542,0,1416451092840,40.4456,-79.9317
8,0,41.9608,11.7647,859.5,0,0,84,14.7247,19.2157,2.35294,10.1961,15.2941,7.84314,14.848,0,1416451093840,40.4456,-79.9317
1,0,55.6863,11.7647,901.25,0,0,84,14.9835,26.2745,2.35294,10.1961,15.2941,7.84314,14.848,0,1416451094842,40.4456,-79.9317
1,0,75.6863,14.5098,1496.75,1,0.423597,84,14.9835,34.5098,6.66667,14.1176,20.7843,10.5882,14.848,0.0900206,1416451095841,40.4456,-79.9317
1,0,75.6863,14.5098,1768,7,14.6584,84,15.5156,35.6863,6.27451,15.2941,21.9608,11.3725,14.848,3.67967,1416451096841,40.4456,-79.9317
1,0,84.3137,18.8235,1768,7,14.6584,84,14.0302,39.6078,9.80392,18.8235,23.1373,11.7647,14.5542,3.67967,1416451097840,40.4456,-79.9317
1,9.45756,70.5882,19.2157,2230.75,13,21.1974,83,14.879,39.6078,13.3333,19.2157,23.9216,11.7647,14.5542,6.71388,1416451098840,40.4456,-79.9317
1,18.0144,99.2157,19.2157,1697.25,18,31.9938,83,14.8844,43.9216,8.23529,19.2157,23.9216,12.1569,14.5542,7.70993,1416451099841,40.4456,-79.9316
1,18.0144,43.9216,11.7647,1858.75,22,29.8675,83,14.8557,30.9804,8.23529,15.6863,21.1765,10.5882,14.5542,7.8824,1416451100840,40.4456,-79.9316
1,22.2928,43.9216,11.7647,1696,22,29.8675,84,14.8557,16.8627,2.35294,10.9804,15.2941,7.84314,14.848,7.8824,1416451101841,40.4457,-79.9314
9,21.3921,13.7255,9.80392,1696,22,29.8675,84,14.4586,12.1569,1.56863,10.5882,15.2941,7.84314,14.5542,7.8824,1416451102840,40.4457,-79.9314
9,20.7166,22.3529,10.5882,1271.5,21,29.8675,86,14.6278,12.1569,1.96078,10.9804,15.2941,7.84314,14.848,7.8824,1416451103841,40.4457,-79.9313
9,18.4648,29.8039,10.9804,1301,19,0,92,15.3106,17.6471,2.35294,10.9804,15.2941,7.84314,14.5542,0,1416451104840,40.4457,-79.9313
9,18.4648,28.2353,10.9804,1311,17,0,92,14.7251,17.2549,2.35294,10.9804,15.2941,7.84314,14.5542,0,1416451105840,40.4457,-79.9313
9,17.1137,56.0784,15.2941,1588,17,7.13311,104,14.7251,24.7059,3.52941,13.7255,19.2157,9.80392,14.5542,1.60831,1416451106842,40.4457,-79.9312
9,19.8158,56.0784,15.2941,1694,20,15.2765,126,14.6825,34.1176,6.27451,15.2941,21.9608,10.9804,14.848,3.67431,1416451107840,40.4456,-79.9311
9,21.1669,74.1176,16.4706,1694,20,15.2765,118,14.2572,19.2157,2.35294,11.3725,15.2941,7.84314,14.5542,3.67431,1416451108840,40.4456,-79.931
7,20.7166,18.8235,10.5882,1895.25,22,13.8427,124,14.2119,19.2157,1.17647,9.80392,15.2941,7.84314,14.848,3.72499,1416451109841,40.4456,-79.931
7,20.041,21.1765,10.5882,1302.5,20,13.8427,123,14.1962,11.7647,1.96078,9.80392,15.2941,7.84314,14.8781,3.72499,1416451110840,40.4456,-79.9309
7,16.213,30.1961,11.3725,1267.5,15,13.8427,115,15.6506,15.2941,1.96078,10.9804,15.2941,7.84314,14.8781,3.72499,1416451111841,40.4455,-79.9309
7,16.213,81.9608,11.3725,1282,14,0,115,15.6506,22.7451,2.7451,11.7647,16.8627,9.80392,14.8781,0,1416451112841,40.4455,-79.9309
7,13.2856,81.9608,14.5098,1346.75,14,0,123,14.255,37.2549,2.35294,13.3333,21.5686,11.3725,14.5609,0,1416451113840,40.4455,-79.9308
7,13.736,90.9804,15.2941,1346.75,16,15.0398,126,14.5017,31.7647,5.09804,14.902,21.1765,10.5882,14.8907,2.87586,1416451114841,40.4455,-79.9308
7,11.259,58.8235,15.6863,1752,19,20.9238,141,14.9562,31.7647,6.66667,16.0784,22.3529,10.5882,14.8907,5.20491,1416451115841,40.4455,-79.9307
7,12.6101,67.0588,16.0784,1757.5,21,14.9645,129,14.6856,35.2941,7.45098,16.0784,22.3529,11.3725,14.8516,3.73419,1416451116841,40.4454,-79.9307
2,14.6367,41.9608,11.3725,1908,23,15.84,124,14.4524,34.1176,7.45098,16.4706,22.3529,10.9804,14.5668,4.29114,1416451117841,40.4454,-79.9307
2,13.736,45.098,14.902,1946,22,15.84,113,14.4524,21.1765,5.09804,13.7255,18.8235,9.41177,14.5668,4.29114,1416451118841,40.4454,-79.9306
2,16.8885,45.098,14.902,1901.5,22,15.84,117,15.1477,28.2353,5.88235,14.902,20.7843,10.5882,14.8691,4.29114,1416451119841,40.4454,-79.9306
2,17.1137,54.1176,15.2941,1901.5,23,7.26337,111,14.6264,35.2941,7.84314,16.8627,22.7451,11.3725,14.8651,1.96098,1416451120840,40.4454,-79.9305
2,20.9417,67.8431,16.0784,2044,25,15.9478,116,14.6233,35.2941,7.84314,16.8627,22.7451,11.7647,14.8651,4.6283,1416451121841,40.4453,-79.9305
5,25.4453,53.3333,11.7647,1546.25,26,10.953,119,14.2168,34.902,0,10.5882,22.7451,11.7647,14.8678,2.40466,1416451122840,40.4453,-79.9304
5,25.4453,27.8431,10.5882,1232.25,24,10.953,119,14.2231,16.0784,0,10.5882,15.2941,7.84314,14.5861,2.40466,1416451123840,40.4453,-79.9304
5,24.7698,85.098,10.5882,1722.25,22,10.953,124,14.2231,52.1569,1.96078,10.9804,22.7451,12.549,14.5861,2.40466,1416451124840,40.4452,-79.9303
5,23.1935,85.098,19.6078,2144.5,22,10.953,127,15.198,49.8039,12.9412,21.9608,26.6667,13.3333,14.8817,2.40466,1416451125840,40.4452,-79.9302
1,23.1935,83.1373,19.6078,2144.5,26,30.8761,135,14.8364,50.1961,12.1569,21.9608,28.2353,14.5098,14.8817,9.40131,1416451126840,40.4452,-79.9302
1,23.6439,94.1176,26.2745,2050.75,29,27.6579,125,14.6704,50.1961,14.1176,22.7451,30.5882,15.2941,14.848,8.05326,1416451127841,40.4451,-79.9301
1,26.1209,74.5098,21.5686,1802.25,33,45.7504,117,15.1042,63.1373,12.9412,22.3529,30.5882,15.2941,14.8768,11.7071,1416451128840,40.4451,-79.9299
1,32.6511,81.9608,21.9608,2008.5,36,34.7879,121,14.4425,54.5098,12.9412,22.3529,30.5882,15.2941,14.9086,9.92063,1416451129841,40.445,-79.9298
5,34.6777,78.4314,22.3529,2085.5,39,36.2031,124,14.4425,48.6275,12.549,21.5686,29.8039,14.902,14.9086,10.72,1416451130846,40.445,-79.9297
5,39.6317,78.4314,22.3529,2195.75,41,24.14,127,14.1783,45.4902,14.902,23.5294,29.0196,14.5098,14.9239,7.52593,1416451131841,40.4449,-79.9296
1,39.6317,83.5294,20.3922,2195.75,41,24.14,127,14.4133,37.6471,9.41177,18.4314,25.8824,12.9412,14.4824,7.52593,1416451132840,40.4449,-79.9296
5,38.5058,70.9804,18.8235,2195.75,43,27.5405,125,14.9858,48.2353,12.1569,21.1765,26.6667,13.3333,14.4896,8.58606,1416451133841,40.4449,-79.9295
5,38.9561,91.7647,18.4314,1668,44,16.3301,122,14.7184,48.2353,9.80392,18.8235,26.6667,13.3333,14.9239,3.86745,1416451134847,40.4448,-79.9294
5,43.4597,69.0196,15.2941,1745.75,44,16.3301,122,14.3223,44.7059,5.09804,18.8235,26.6667,13.3333,14.9239,3.86745,1416451135841,40.4447,-79.9293
5,44.1353,23.9216,9.80392,1692,44,16.3301,123,14.7722,20.7843,1.56863,13.3333,18.4314,9.01961,14.6004,3.86745,1416451136840,40.4447,-79.9292
5,45.9367,16.0784,9.80392,1198,42,0,122,14.5192,12.549,1.56863,10.5882,15.2941,7.84314,14.6004,0,1416451137842,40.4445,-79.9289
5,46.8374,16.0784,9.80392,1362.75,40,0,123,14.5192,22.3529,3.52941,12.549,19.6078,9.80392,14.9086,0,1416451138840,40.4445,-79.9288
5,46.6123,42.7451,13.7255,1605.5,40,0,124,15.1199,21.9608,5.09804,14.1176,18.8235,8.62745,14.591,0,1416451139840,40.4444,-79.9286
5,45.4864,22.7451,10.5882,1605.5,38,0,127,14.6812,12.1569,1.96078,10.9804,15.2941,7.84314,14.591,0,1416451140845,40.4443,-79.9285
3,39.1813,17.6471,9.80392,1303.25,36,0,125,29.3996,12.1569,1.17647,10.9804,15.2941,7.84314,12.9356,0,1416451141841,40.4443,-79.9284
3,34.6777,17.2549,9.80392,1208,32,0,126,12.8535,10.5882,2.35294,11.3725,15.2941,7.84314,14.7,0,1416451142841,40.4442,-79.9283
3,34.6777,40.3922,11.7647,1283.75,25,0,126,13.8921,31.3725,2.35294,11.3725,15.2941,7.84314,14.7,0,1416451143841,40.4442,-79.9283
9,23.4187,30.5882,11.7647,1320,20,0,126,13.8921,18.4314,2.7451,11.7647,15.2941,7.84314,14.848,0,1416451144841,40.4441,-79.9281
9,18.6899,30.5882,11.3725,1303.25,20,0,129,15.0329,16.4706,2.35294,11.3725,15.2941,7.84314,14.848,0,1416451145840,40.4441,-79.9281
9,17.7892,30.5882,16.0784,1303.25,17,0,139,14.7076,36.0784,7.84314,16.4706,22.3529,11.3725,14.5542,0,1416451146840,40.4442,-79.928
9,18.9151,99.6078,20.7843,1566,19,14.7577,156,14.5623,36.0784,12.1569,21.5686,24.3137,11.3725,14.5542,3.28133,1416451147840,40.4442,-79.928
9,21.8425,100,29.0196,1894,23,33.2045,175,14.7103,45.4902,15.2941,21.5686,24.3137,12.549,14.4824,8.92927,1416451148846,40.4441,-79.9279
1,23.4187,76.0784,22.7451,2459,28,34.9608,188,14.6363,48.6275,15.2941,23.5294,27.8431,14.1176,14.4824,12.2062,1416451149847,40.444,-79.9279
1,26.5712,52.549,12.549,1736,32,50.767,183,14.6363,54.5098,16.4706,25.8824,28.2353,14.1176,14.4824,12.5133,1416451150845,40.444,-79.9279
5,32.4259,52.549,12.549,1841.75,33,11.1831,178,14.2137,34.5098,7.45098,16.4706,22.7451,11.7647,14.4824,2.92437,1416451151840,40.4439,-79.9279
5,34.2274,62.7451,24.7059,1841.75,33,11.1831,178,14.2931,56.0784,10.9804,20.3922,26.6667,13.3333,14.883,2.92437,1416451152840,40.4438,-79.9279
5,36.9295,62.7451,18.4314,1372,36,48.5331,178,14.6098,56.0784,9.41177,18.0392,25.4902,12.9412,14.9239,9.45434,1416451153845,40.4437,-79.9279
5,36.9295,69.0196,17.6471,1522,37,16.953,178,14.5439,47.8431,8.62745,18.0392,25.4902,12.9412,14.4824,3.66354,1416451154841,40.4437,-79.9279
5,37.8302,70.1961,12.1569,1542,39,31.2126,177,15.0854,42.7451,8.62745,18.0392,25.098,12.549,14.9239,6.83367,1416451155840,40.4436,-79.9279
5,38.9561,33.7255,13.7255,1666,39,31.2126,177,15.0854,20,1.56863,11.7647,18.0392,9.01961,14.9239,6.83367,1416451156841,40.4435,-79.9279
5,39.1813,33.7255,13.7255,1480,39,31.2126,177,14.9037,29.8039,6.27451,14.5098,21.9608,11.3725,14.8947,6.83367,1416451157840,40.4434,-79.9279
5,37.1547,65.4902,15.6863,1480,39,31.2126,179,15.054,36.4706,7.45098,16.4706,23.1373,11.7647,14.8947,6.83367,1416451158847,40.4433,-79.9279
5,38.2806,82.7451,17.2549,1536.25,39,0,181,14.5573,36.4706,11.3725,22.3529,26.2745,13.3333,14.9144,0,1416451159841,40.4432,-79.9279
5,39.4065,96.4706,22.7451,1536.75,39,0,185,14.8252,47.8431,13.7255,22.3529,26.2745,13.3333,14.4824,0,1416451160841,40.4431,-79.9279
5,38.2806,96.4706,24.7059,1546,38,0,181,15.0441,58.0392,13.7255,23.1373,29.4118,14.902,14.4824,0,1416451161846,40.4429,-79.9279
5,37.3799,65.8824,24.7059,2055.75,37,0,181,15.0441,67.0588,17.2549,26.2745,32.9412,16.4706,14.4824,0,1416451162841,40.4428,-79.9279
5,36.254,65.8824,24.3137,2055.75,37,0,180,14.9871,61.1765,15.6863,25.098,33.3333,16.4706,14.9239,0,1416451163840,40.4427,-79.9279
5,36.9295,83.5294,25.098,2054,38,11.4529,181,14.6937,61.1765,10.1961,19.6078,26.2745,12.9412,14.9239,3.34006,1416451164847,40.4426,-79.9279
5,37.1547,71.7647,19.2157,2029.75,38,11.4529,180,14.0706,39.2157,10.1961,18.4314,26.2745,12.9412,14.9239,3.34006,1416451165842,40.4425,-79.9279
3,39.1813,49.0196,10.9804,1932,36,11.4529,178,14.4416,38.8235,10.1961,18.4314,24.7059,12.1569,14.8776,3.34006,1416451166840,40.4424,-79.9279
3,40.9828,12.1569,13.3333,1562,29,0,177,14.4416,13.7255,0,10.9804,15.2941,7.84314,14.8776,0,1416451167840,40.4423,-79.9279
3,32.4259,22.7451,13.3333,1278.25,17,0,171,14.1047,13.7255,1.17647,10.9804,15.2941,7.84314,14.8776,0,1416451168840,40.4422,-79.9279
3,32.4259,22.7451,11.3725,1278.25,17,0,171,14.613,17.6471,2.7451,11.7647,15.2941,8.23529,14.8884,0,1416451169841,40.4422,-79.9279
1,24.5446,97.2549,20.7843,1356.75,11,0,167,14.1361,17.6471,13.7255,24.7059,25.4902,12.9412,14.8884,0,1416451170845,40.4422,-79.9279
1,18.0144,99.6078,37.2549,1291,15,21.2669,161,14.8552,70.1961,29.4118,24.7059,25.4902,12.9412,14.4824,3.89825,1416451171840,40.4421,-79.9279
1,15.7626,67.8431,23.1373,2003.75,19,21.6971,173,14.8552,80.3922,29.4118,24.7059,28.2353,14.5098,14.4824,6.17284,1416451172841,40.4421,-79.9278
1,18.9151,67.8431,23.1373,1947.75,24,38.5477,183,15.1553,56.8627,14.5098,23.9216,29.0196,14.5098,14.4824,10.6603,1416451173840,40.442,-79.9279
5,22.0676,83.5294,23.1373,1947.75,24,38.5477,181,14.5304,50.9804,13.3333,22.3529,28.6275,14.5098,14.9239,10.6603,1416451174840,40.442,-79.9279
